Proponent,TIP_ID,Project_Name,Investment_Category,Earliest_Advertisement_Year,Multiyear,Community_Type,Subregion,Evaluation_Rating,Total_Target_Funds,Other_Funds ,Total_Cost_All_Fys,FFY_2016,FFY_2017,FFY_2018,FFY_2019,FFY_2020,FFY_2021,FFY_2022,FFY_2023,Potential_Funding,Additional_Information,CMAQ,HSIP,TAP,Programmed,Design_Status,currentFunding
Hingham  ,607309,Reconstruction and related work on Derby St.,CS,2017,1,3,SSC,54,6716047,,6716047,,,,,,,,,HSIP,"2017: AC Yr 4 of 5; 2018: AC Yr 5 of 5; NHPP+BR+Statewide Infrastructure Total Cost = $164,919,140 ($26,258,183 programmed within FFYs 2017-21 TIP)",0,0,0,1,#N/A,2017
Hingham (MassDOT),600518,"Intersection improvements at Derby St., Whiting St. (Route 53) and Gardner St.",INT,2018,1,3,SSC,28,2844392,,2844392,,,,,,,,,,$190m flexed to transit,0,0,0,1,#N/A,2017
Needham and Wellesley,603711,Rehabilitation/replacement of 6 bridges on I-95/Route 128 (add-a-lane - contract V),MI,2017,3,3,ICC,N/A,26528183,,26528183,,,,,,,,,HSIP,"cost increase of $7,438,700 in FFY 2017; AC over FFYs 2016-17",0,0,0,1,100% Submitted,2017
Somerville and Medford,1570,Green Line Extension (Phase I),MI,2017,6,1,ICC,N/A,181900000,,181900000,,,,,,,,,HSIP,"cost increase of $18,834,871; AC over FFYs 2016-19",0,0,0,1,#N/A,2017
Weymouth and Abington,601630,Reconstruction and widening on Route 18 (Main St.),MI,2017,4,3,SSC,N/A,40481758,27930510,68412268,,,,,,,,,HSIP,,0,3564629,0,1,25% Submitted,2017
"Bedford, Billerica, and Burlington",29492,"Middlesex Turnpike Improvements, Phase III",MI,2017,2,3,NSPC,55,6604906,8438700,15043606,,,,,,,,,HSIP,"cost increase of $933,482",0,798857,0,1,75% Submitted,2017
Woburn,604935,Reconstruction of Montvale Ave.,MI,2017,1,2,NSPC,51,4672893,,4672893,,,,,,,,,HSIP,may be ready in FFY17,0,611547,0,1,75% Submitted,2017
Brookline,605110,Intersection and signal improvements at Route 9 and Village Square (Gateway East),CS,2019,1,1,ICC,70,7000834,,7000834,,,,,,,,,,,2000000,3397727,0,1,25% Submitted,2018
Marlborough,604810,Reconstruction of Route 85 (Maple St.),CS,2017,1,2,MWRC,59,5773824,,5773824,,,,,,,,,CMAQ,,1038370,0,2824382,1,75% Submitted,2018
Walpole (MassDOT),602261,Reconstruction on Route 1A (Main St.),CS,2020,1,4,TRIC,52,16102052,,16102052,,,,,,,,,,,471811,0,2346838,1,25% Submitted,2018
Southborough,604989,Reconstruction of Main St. (Route 30),CS,2018,1,3,MWRC,43,7271690,,7271690,,,,,,,,,,"move to FFY 2020 because of cost overruns; cost increase of $873,454",0,0,0,1,25% Approved,2019
Newton and Needham,606635,"Reconstruction of Highland Ave., Needham St. and Charles River bridge",MI,2019,1,1,ICC,77,25036514,,25036514,,,,,,,,,HSIP,,1000000,1220822,2824382,1,25% Submitted,2019
Hopkinton,606043,Signal and intersection improvements on Route 135,CS,2019,1,4,SWAP,65,7860000,,7860000,,,,,,,,,CMAQ,,1824765,0,2548719,1,25% Submitted,2019
Boston,606453,Improvements on Boylston St.,CS,2020,1,1,ICC,60,4971952,,4971952,,,,,,,,,HSIP,,3687911,2319644,3312089,1,25% Approved,2018
Ashland,604123,Reconstruction on Route 126 (Pond St.),CS,2020,1,3,MWRC,57,13552165,,13552165,,,,,,,,,CMAQ,,787405,2362214,0,1,25% Submitted,2019
Milford,607428,Resurfacing and intersection improvements on Route 16 (Main St.),CS,2019,1,2,SWAP,55,2622962,,2622962,,,,,,,,,CMAQ,,2000000,0,0,1,75% Submitted,2018
Lynn,602077,Reconstruction on Route 129 (Lynnfield St.),CS,2020,1,2,NSTF,41,4403439,,4403439,,,,,,,,,CMAQ,,2000000,0,2548719,1,25% Submitted,2019
Everett,607652,Reconstruction of Ferry St.,CS,2019,1,1,ICC,75,15400000,,15400000,,,,,,,,,CMAQ,,1000000,0,0,1,25% Submitted,2020
Natick,605034,Reconstruction of Route 27 (North Main St.),CS,2019,1,3,MWRC,61,11199377,,11199377,,,,,,,,,CMAQ,,0,2000000,0,1,PRC Approved,2020
Woburn,604996,"Bridge replacement, New Boston St. over MBTA",MI,2021,1,2,NSPC,55,15202173,,15202173,,,,,,,,,,,0,0,0,1,25% Submitted,2020
Boston,606226,Reconstruction of Rutherford Ave.,MI,2020,5,1,ICC,N/A,28832529,8578930,37411459,,,,,,,,,,not in the CIP; move to FFY 2021,0,0,2183253,1,#N/A,2021
Holbrook,606501,Reconstruction of Union St. (Route 139),CS,2021,1,3,SSC,46,1363630,752266,2115896,,,,,,,,,,,0,0,0,0,PRC Approved,9999
Salem,608352,Canal St. Rail Trail construction (phase 2),B/P,2018,1,2,NSTF,40,2595840,,2595840,,,,,,,,,CMAQ and TAP,,0,0,0,0,25% Approved,9999
Framingham,608228,Reconstruction of Union Ave.,CS,2021,1,2,MWRC,60,9200787,,9200787,,,,,,,,,CMAQ,,0,0,0,0,25% Submitted,9999
Boston,605789,Reconstruction of Melnea Cass Boulevard,CS/MI,2019,1,1,ICC,61,7853499,15535775,23389274,,,,,,,,,CMAQ,,0,0,0,0,PRC Approved,9999
Beverly,608347,Intersection improvements at three locations,INT,2020,1,2,NSTF,63,3000000,,3000000,,,,,,,,,,,0,0,0,0,75% Submitted,9999
Norwood,605857,Intersection improvements at Route 1 and University Ave./Everett St.,INT,2021,1,2,TRIC,55,7406795,,7406795,,,,,,,,,,,0,0,0,0,75% Submitted,9999
Hull,601607,Reconstruction of Atlantic Ave.,CS,2019,1,3,ICC,36,5917592,,5917592,,,,,,,,,HSIP,,0,0,0,0,25% Submitted,9999
Danvers,602310,Reconstruction on Collins St.,CS,2019,1,3,NSPC,51,5183121,,5183121,,,,,,,,,CMAQ,,0,0,0,0,PRC Approved,9999
Norwood,606130,Intersection improvements at Route 1A and Upland Rd/Washington St. and Prospect St./Fulton St.,INT,2020,1,2,TRIC,47,3275389,,3275389,,,,,,,,,CMAQ,,0,0,0,0,Pre-PRC,9999
Sudbury,607249,Intersection improvements at Route 20 and Landham Rd.,INT,2020,1,3,MWRC,37,1655050,,1655050,,,,,,,,,HSIP,,0,0,0,0,25% Approved,9999
Natick,605313,"Bridge replacement, Route 27 (North Main St.) over Route 9 (Worcester St.)",MI,2020,1,3,MWRC,54,25793370,,25793370,,,,,,,,,CMAQ,,0,0,0,0,25% Submitted,9999
Wrentham,604745,Reconstruction of Taunton St. (Route 152),CS,2020,1,4,SWAP,29,3945871,,3945871,,,,,,,,,"CMAQ ($2,000,000), HSIP",,0,0,0,0,PRC Approved,9999
Wrentham,603739,Construction of I-495/Route 1A ramps,MI,2020,1,4,SWAP,35,3056094,,3056094,,,,,,,,,HSIP,,0,0,0,0,PRC Approved,9999
Watertown,607777,Reconstruction of Route 16 (Mount Auburn St.),CS,2021,1,1,ICC,71,12233125,,12233125,,,,,,,,,HSIP,"CS Investment Program; project score: 36 (not first-tier CS roadway)",0,0,0,0,75% Submitted,9999
Beverly,608348,Rehabilitation of Bridge St.,CS,2021,1,2,NSTF,60,5280000,,5280000,,,,,,,,,HSIP,"CS Investment Program; project score: 46 (5th highest CS roadway)",0, $-   ,0,0,25% Approved,9999
Newton,601704,Reconstruction and signal improvements on Walnut St.,CS,2020,1,1,ICC,45,4648360,,4648360,,,,,,,,,HSIP,"CS Investment Program; project score: 51 (4th highest CS roadway)",0,0,0,0,75% Approved,9999
Medfield,604735,Reconstruction of North St.,CS,2020,1,3,TRIC,30,2210050,,2210050,,,,,,,,,,,0,0,0,0,25% Submitted,9999
Dedham,607899,Pedestrian improvements along Bussey St.,CS,2020,1,3,TRIC,25,3902755,,3902755,,,,,,,,,,"INT Investment Program; project score: 47 (3rd highest intersx.)",0,0,0,0,25% Approved,9999
Marlborough,604231,Intersection and signal improvements on Route 20 (East Main St./Boston Post Rd) at Concord Rd,INT,2020,1,2,MWRC,40,1706600,,1706600,,,,,,,,,,"INT Investment Program; project score: 37 (6th highest intersx.)",0,0,0,0,25% Submitted,9999
Duxbury,606002,Signal installation at Route 3 (NB and SB) ramps and Route 3A (Tremont St.),INT,2021,1,3,SSC,33,2400000,,2400000,,,,,,,,,,"CS Investment Program; project score: 45 (7th highest CS roadway)",0,0,0,0,25% Approved,9999
Saugus (MassDOT),601513,Interchange reconstruction at Walnut St. and Route 1 (phase II),MI,2019,1,3,ICC,43,19581122,,19581122,,,,,,,,,,B/P Investment Program,0,0,0,0,25% Submitted,9999
Ipswich,605743,Resurfacing and related work on Central and South Main Sts.,CS,2020,1,4,NSTF,38,2624154,,2624154,,,,,,,,,,CS Investment Program; project scores roughly 61 points (2nd highest); list in LRTP as MI.,0,0,0,0,PRC Approved,9999
Marblehead,608146,Intersection improvements to Pleasant St. at Village/Vine/Cross Sts.,INT,2021,1,3,NSTF,41,900000,,900000,,,,,,,,,CMAQ,"CS Investment Program;project score: 60 (tied 2nd highest CS roadway)",0,0,0,0,25% Submitted,9999
Somerville,607981,McGrath Boulevard project,MI,2021,1,1,ICC,70,88250000,,88250000,,,,,,,,,CMAQ,,0,0,0,0,75% Submitted,9999
Boston,608449,"Improvements along Commonwealth Ave. (Route 30), phases 3 and 4",MI,2021,1,1,ICC,69,23000000,,23000000,,,,,,,,,CMAQ,"CS Investment Program; project score: 45 (6th highest CS roadway)",0,0,0,0,25% Submitted,9999
Danvers and Peabody (MassDOT),604638,Mainline improvements on Route 128 (phase II),MI,2018,2,2,NSTF,34,0,,0,,,,,,,,,CMAQ,"INT Investment Program;project score: 40 (4th highest intersx.)",0,0,0,0,25% Submitted,9999
Chelsea,608078,"Reconstruction of Broadway, from City Hall Ave to the Revere City Line",CS,2021,1,1,ICC,61,6440000,,6440000,,,,,,,,,CMAQ,"INT Investment Program;project score: 55 (2nd highest intersx.)",0,0,0,0,PRC Approved,9999
Malden,608275,Lighting and Sidewalk Improvements on Exchange Street,CS,2021,1,1,ICC,47,1290587,,1290587,,,,,,,,,CMAQ,"CS Investment Program;project score: 71 (highest ranked CS roadway)",0,0,0,0,PRC Approved,9999
Acton,608229,Intersection Improvements at Massachusetts Avenue (Route 111) and Main Street (Route 27) (Kelly's Corner),INT,2021,1,3,MAGIC,45,7475000,,7475000,,,,,,,,,,"INT Investment Program;project score: 63 (highest ranked intersx.)",0,0,0,0,PRC Approved,9999
Bedford,607738,"Minuteman Bikeway Extension, from Loomis Street to the Concord T.L.",B/P,2021,1,3,MAGIC,38,4006200,,4006200,,,,,,,,,,"CS Investment Program;project score: 60 (tied 2nd highest CS roadway)",0,0,0,0,PRC Approved,9999
Sudbury,608164,"Bruce Freeman Rail Trail, Phase 2D",B/P,2021,1,3,MAGIC,38,6900000,,6900000,,,,,,,,,,,0,0,0,0,100% Approved,9999
Cohasset and Scituate,608007,"Corridor Improvements and Related Work on Justice Cushing Highway (Route 3A), from Beechwood Street to the Scituate Town Line",CS,2021,1,4,SSC,36,4000200,,4000200,,,,,,,,,,CS Investment Program,,,,,,9999
Reading (MassDOT),607305,Intersection Signalization at Route 28 & Hopkins Street,INT,2020,1,3,NSPC,34,0,,0,,,,,,,,,,INT Investment Program,,,,,,9999
Framingham,608006,Pedestrian Hybrid Beacon Installation at Route 9 and Maynard Road,B/P,2020,1,2,MWRC,26,886228,,886228,,,,,,,,,,B/P Investment Program,,,,,,9999
Regionwide,1002,Bicycle Network and Pedestrian Connections,B/P,2018,6,All,All,N/A,5000000,,5000000,,,,,,,,,,(Keep minimum of $1.5m),,,,,,9999
Regionwide,1003,Community Transportation ,CT,2018,6,All,All,N/A,2000000,,2000000,,,,,,,,,,,,,,,,
